Date,Open,High,Low,Close,Price_Percent_Change,Volatility,Price_Change,Gain,Loss,Avg_Gain,Avg_Loss,RS,RSI,12_Day_EMA,26_Day_EMA,MACD,MACD_Signal,MACD_Histogram,Volume,
1968-09-03,98.860001,99.889999,98.309998,99.32,0.46%,6.29%,0.459999,0.459999,0,0.234285643,0.071428571,3.279999,76.63550856,98.77499967,98.3092305,0.465769167,27.73639403,-27.27062486,8620000,
1968-09-04,99.32,100.489998,98.949997,100.019997,0.70%,6.61%,0.699997,0.699997,0,0.26755074,0.066326531,4.033841923,80.13445763,98.89916617,98.29230735,0.606858821,27.97670288,-27.36984406,10040000,
1968-09-05,100.019997,101.339996,99.629997,100.739998,0.72%,5.98%,0.720001,0.720001,0,0.299868616,0.061588921,4.868872669,82.96095253,99.121666,98.34653796,0.775128038,28.26689546,-27.49176742,12980000,
1968-09-06,100.739998,101.879997,100.230003,101.199997,0.46%,5.91%,0.459999,0.459999,0,0.3113065,0.057189713,5.443400323,84.48024413,99.33166575,98.42307635,0.908589404,28.60319108,-27.69460167,13180000,
1968-09-09,101.199997,102.089996,100.470001,101.230003,0.03%,5.16%,0.030006,0.030006,0,0.262143214,0.036428714,7.196060015,87.79901565,99.51749933,98.54961485,0.967884487,28.97655155,-28.00866706,11890000,
1968-09-10,101.230003,101.809998,100.120003,100.730003,-0.50%,5.66%,-0.5,0,0.5,0.243418699,0.069540949,3.50036493,77.77957975,99.66499967,98.64153819,1.023461474,29.11917874,-28.09571726,11430000,
1968-09-12,100.730003,101.400002,99.699997,100.519997,-0.21%,5.79%,-0.210006,0,0.210006,0.226031649,0.079574167,2.840515431,73.96182836,99.81666633,98.75192262,1.064743718,29.2446206,-28.17987689,14630000,
1968-09-13,100.519997,101.529999,99.889999,100.860001,0.34%,5.82%,0.340004,0.340004,0,0.234172531,0.073890298,3.169191871,76.01453637,99.99749958,98.87192273,1.125576853,29.40995751,-28.28438066,13070000,
1968-09-16,100.860001,102.010002,100.330002,101.239998,0.38%,5.60%,0.379997,0.379997,0,0.247143286,0.065714643,3.760855648,78.99537239,100.1891659,99.02423038,1.164935532,29.59812616,-28.43319063,13260000,
1968-09-17,101.239998,102.18,100.639999,101.5,0.26%,5.53%,0.260002,0.260002,0,0.248061765,0.06102074,4.065204161,80.25745916,100.4133328,99.21153819,1.201794558,29.67895967,-28.47716511,13920000,
1968-09-19,101.5,102.529999,100.839996,101.589996,0.09%,5.55%,0.089996,0.089996,0,0.236771353,0.056662116,4.178653608,80.68996161,100.6508326,99.39384581,1.256986776,29.71739078,-28.460404,17910000,
1968-09-20,101.589996,102.370003,100.809998,101.660004,0.07%,5.39%,0.070008,0.070008,0,0.224859685,0.052614822,4.273694726,81.03796196,100.8841662,99.56346135,1.320704821,29.72192454,-28.40121972,14190000,
1968-09-23,101.660004,102.82,101.199997,102.239998,0.57%,5.44%,0.579994,0.579994,0,0.300714714,0.050714714,5.929535807,85.56901894,101.1274993,99.76346123,1.364038103,29.77684715,-28.41280905,11550000,
